# Time, Roll, Pitch, Yaw, X, Y, Z, T1, T2, T3, T4, WindX, WindY, WindZ
5.100999999999999801e+01,-1.386612552302716184e-01,2.097479193931333363e-01,-3.274804275561794764e+00,9.589744004740383687e+00,9.915433811497683436e+00,1.008372576386316233e+01,2.886218737608376994e-01,3.636564911517795595e-01,2.914865160776802244e-01,3.642351190097025682e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
5.200999999999999801e+01,-1.237304957635631669e-01,1.871710037616854672e-01,-3.113737205534414798e+00,9.579958567777746126e+00,9.918650042679901802e+00,1.008549618854641494e+01,2.942043795059420819e-01,3.582737858130519149e-01,2.967362992461793358e-01,3.587855354348266634e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
5.300999999999999801e+01,-1.104197875191884753e-01,1.670362927062688241e-01,-2.940510232803031254e+00,9.570183632871513524e+00,9.922113687175508900e+00,1.008726601391451005e+01,2.996464711705495443e-01,3.530061991349838779e-01,3.018866100429655197e-01,3.534607196515011096e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
5.400999999999999801e+01,-9.854308206220667443e-02,1.490656974846588934e-01,-2.757156157409632602e+00,9.560418912069783559e+00,9.925825009223816053e+00,1.008903530359394018e+01,3.049174202879506579e-01,3.478849062310536699e-01,3.069070297585554385e-01,3.482906437224402851e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
5.500999999999999801e+01,-8.793862858886744571e-02,1.330183913542776764e-01,-2.565650427700556513e+00,9.550664019710389141e+00,9.929784249746797187e+00,1.009080411449659209e+01,3.099921219504100378e-01,3.429383313921631760e-01,3.117676184240181225e-01,3.433019282334087707e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
5.600999999999999801e+01,-7.846731958966937648e-02,1.186867932182695540e-01,-2.367900546593935562e+00,9.540918486198135540e+00,9.933991628280280040e+00,1.009257249754496222e+01,3.148498257180548099e-01,3.381918255106097781e-01,3.164401898419483272e-01,3.385181589293871363e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
5.700999999999999801e+01,-7.000905900463583187e-02,1.058904573842962688e-01,-2.165736649194751173e+00,9.531181770936404618e+00,9.938447344654797178e+00,1.009434049831563662e+01,3.194728017013299115e-01,3.336674774483345818e-01,3.208996069177522115e-01,3.339601139325833468e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
5.800999999999999801e+01,-6.245856100266407307e-02,9.446988740879438962e-02,-1.960903244632921760e+00,9.521453274410129453e+00,9.943151580473779561e+00,1.009610815760223268e+01,3.238454199499498642e-01,3.293840904557722160e-01,3.251246222965299970e-01,3.296458672977479742e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
5.900999999999999801e+01,-5.572173492900803216e-02,8.428167855796023233e-02,-1.755052107043456378e+00,9.511732349470449321e+00,9.948104500281809592e+00,1.009787551190739130e+01,3.279537974714109572e-01,3.253572927165943596e-01,3.290981132182904667e-01,3.255907965937043236e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
6.000999999999999801e+01,-4.971324420683122941e-02,7.519550612117657795e-02,-1.549736293271232634e+00,9.502018311870941147e+00,9.953306252661345610e+00,1.009964259387743724e+01,3.317859080620528256e-01,3.215997217312773215e-01,3.328068187122432686e-01,3.218075514944266358e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
